"filename", "language", "JSON", "YAML", "Markdown", "TypeScript", "Shell Script", "Python", "XML", "TypeScript JSX", "JSON with Comments", "Swift", "JavaScript", "Log", "HTML", "SCSS", "TOML", "comment", "blank", "total"
"/Users/johndoe/Documents/company/video_ops/basic_ui/reference/display/katex/.yarn/sdks/stylelint/lib/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 6, 21
"/Users/johndoe/Documents/company/video_ops/basic_ui/reference/display/katex/.yarn/sdks/stylelint/package.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/johndoe/Documents/company/video_ops/basic_ui/reference/webgpu/wgpu/naga/xtask/Cargo.lock", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 2, 36, 277
"/Users/johndoe/Documents/company/video_ops/basic_ui/reference/webgpu/wgpu/xtask/Cargo.lock", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 2, 9, 64
"/Users/johndoe/Documents/company/video_ops/bin/ngrok-types.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/johndoe/Documents/company/video_ops/bin/outdoor-endpoints.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 94
"/Users/johndoe/Documents/company/video_ops/bin/outdoor-expo-ngrok.ts", "TypeScript", 0, 0, 0, 646, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 53, 717
"/Users/johndoe/Documents/company/video_ops/bin/outdoor-lan.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 103
"/Users/johndoe/Documents/company/video_ops/bin/outdoor-network.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 102
"/Users/johndoe/Documents/company/video_ops/bin/outdoor-ngrok.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"/Users/johndoe/Documents/company/video_ops/bin/outdoor-tailscale.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 85
"/Users/johndoe/Documents/company/video_ops/bin/public-tunnels.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 76
"/Users/johndoe/Documents/company/video_ops/bin/setup-icloud-inbox.sh", "Shell Script", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 40
"/Users/johndoe/Documents/company/video_ops/bin/start-outdoor-agent-ngrok.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 67
"/Users/johndoe/Documents/company/video_ops/bin/start-outdoor-all.ts", "TypeScript", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 22, 165
"/Users/johndoe/Documents/company/video_ops/bin/start-outdoor-mac.ts", "TypeScript", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25, 170
